Epoch,Baseline,Skip 1RS,Skip 1RS1AG,Skip 2RS,Progressive
0,0.3118,0.2386,0.2611,0.2427,0.2556
5,0.4955,0.4626,0.4418,0.4205,0.4403
10,0.6235,0.5982,0.5376,0.5395,0.5369
15,0.6692,0.6527,0.6338,0.5986,0.5950
20,0.7059,0.7146,0.6842,0.6984,0.6281
25,0.7540,0.7277,0.7127,0.6741,0.6655
30,0.6926,0.7205,0.7299,0.6514,0.6786
35,0.7519,0.7393,0.6920,0.7025,0.6900
40,0.7658,0.7201,0.7302,0.6917,0.6994
45,0.7670,0.7189,0.7447,0.6776,0.6859
50,0.7539,0.7358,0.7266,0.7157,0.7009
55,0.7565,0.7458,0.7201,0.6540,0.6619
60,0.7744,0.7653,0.7386,0.7086,0.7177
65,0.7765,0.7536,0.7547,0.6810,0.7432
70,0.7384,0.7390,0.7388,0.6999,0.7088
75,0.7353,0.7600,0.6948,0.7436,0.7246
80,0.7780,0.7776,0.7366,0.7461,0.7261
85,0.7711,0.7343,0.7763,0.7015,0.7310
90,0.7895,0.7041,0.7631,0.7181,0.7258
95,0.7746,0.7528,0.7515,0.7233,0.7422
100,0.7489,0.7712,0.7334,0.7462,0.7674
105,0.8125,0.7937,0.7680,0.7240,0.7886
110,0.7827,0.7806,0.7879,0.7247,0.7642
115,0.8002,0.8114,0.7690,0.7568,0.7758
120,0.8275,0.7873,0.7903,0.7751,0.7833
125,0.8141,0.8036,0.8001,0.7639,0.8021
130,0.8375,0.8126,0.7921,0.7746,0.8111
135,0.8315,0.8122,0.7919,0.7774,0.7927
140,0.8409,0.8046,0.7928,0.7551,0.8049
145,0.8485,0.8269,0.8153,0.7681,0.8259
150,0.8413,0.8304,0.8060,0.8078,0.8135
155,0.8450,0.8508,0.8195,0.7638,0.8408
160,0.8635,0.8469,0.8334,0.8080,0.8517
165,0.8673,0.8511,0.8295,0.7884,0.8508
170,0.8811,0.8638,0.8344,0.7986,0.8595
175,0.8897,0.8562,0.8410,0.8167,0.8657
180,0.8921,0.8732,0.8440,0.8260,0.8706
185,0.8978,0.8802,0.8514,0.8425,0.8831
190,0.8985,0.8875,0.8536,0.8456,0.8843
195,0.8995,0.8937,0.8543,0.8448,0.8897
200,0.8994,0.8943,0.8546,0.8454,0.8913
