Epoch,Baseline,Skip 2RS,Skip 2RS2AG,Skip 4RS,Progressive
0,0.1000,0.1000,0.1000,0.1000,0.1000
5,0.2262,0.2097,0.1000,0.2216,0.2251
10,0.4507,0.4300,0.1000,0.4378,0.4140
15,0.6439,0.6460,0.1226,0.5938,0.5979
20,0.7530,0.7450,0.2318,0.6881,0.6952
25,0.8018,0.7907,0.3333,0.7562,0.7261
30,0.8362,0.8077,0.4664,0.7676,0.7287
35,0.8525,0.8323,0.5655,0.7994,0.7689
40,0.8457,0.8195,0.6645,0.7921,0.7745
45,0.8601,0.8251,0.7026,0.8246,0.8187
50,0.8469,0.8379,0.7189,0.8047,0.7511
55,0.8585,0.8591,0.7714,0.8264,0.8327
60,0.8640,0.8517,0.7702,0.8245,0.8176
65,0.8734,0.8609,0.7641,0.8355,0.8362
70,0.8804,0.8657,0.7947,0.8260,0.8397
75,0.8748,0.8509,0.7825,0.8192,0.8439
80,0.8762,0.8641,0.7985,0.8445,0.8529
85,0.8761,0.8599,0.7991,0.8256,0.8645
90,0.8814,0.8708,0.8072,0.8259,0.8713
95,0.8807,0.8587,0.8173,0.8306,0.8627
100,0.8765,0.8639,0.8182,0.8284,0.8701
105,0.8883,0.8710,0.8071,0.8602,0.8706
110,0.8853,0.8710,0.8293,0.8479,0.8713
115,0.8861,0.8773,0.8268,0.8347,0.8803
120,0.8839,0.8634,0.8175,0.8537,0.8692
125,0.8809,0.8747,0.8216,0.8587,0.8723
130,0.8945,0.8818,0.8289,0.8582,0.8698
135,0.8900,0.8744,0.8282,0.8652,0.8720
140,0.8865,0.8912,0.8127,0.8593,0.8866
145,0.8978,0.8918,0.8296,0.8549,0.8897
150,0.8969,0.8828,0.8414,0.8629,0.8914
155,0.9037,0.8929,0.8342,0.8708,0.9002
160,0.9065,0.8853,0.8437,0.8720,0.8950
165,0.9099,0.8997,0.8467,0.8674,0.9004
170,0.9092,0.9024,0.8545,0.8726,0.9033
175,0.9147,0.9099,0.8559,0.8800,0.9072
180,0.9130,0.9133,0.8565,0.8827,0.9122
185,0.9141,0.9145,0.8563,0.8812,0.9139
190,0.9153,0.9145,0.8580,0.8972,0.9171
195,0.9154,0.9151,0.8582,0.8985,0.9168
200,0.9156,0.9158,0.8578,0.8989,0.9187
