Epochs,Baseline,Skip 1RS,Skip 1RS1AG,Skip 2RS,Progressive
0,0,0,0,0,0
10,0.015798,0.015127,0.012743,0.012352,0.012352
20,0.055221,0.046576,0.044036,0.038662,0.038662
30,0.09261,0.078014,0.072165,0.069667,0.069667
40,0.12319,0.11121,0.095638,0.094529,0.094529
50,0.16104,0.14151,0.12041,0.12462,0.12462
60,0.19468,0.17226,0.15148,0.1493,0.1493
70,0.23431,0.21419,0.18566,0.18336,0.18336
80,0.27839,0.2589,0.22063,0.22265,0.22265
90,0.32101,0.29717,0.25639,0.26154,0.26154
100,0.36099,0.33483,0.29302,0.29678,0.29678
110,0.40065,0.37014,0.3231,0.33701,0.33701
120,0.43474,0.40225,0.35611,0.36899,0.36899
130,0.4633,0.43646,0.38464,0.39768,0.39768
140,0.48808,0.4631,0.41564,0.42504,0.42504
150,0.51484,0.48849,0.44179,0.45436,0.45436
160,0.53992,0.51128,0.46302,0.48035,0.48035
170,0.55814,0.53258,0.47916,0.50206,0.50206
180,0.57574,0.55155,0.49642,0.52127,0.52127
190,0.5905,0.56837,0.51452,0.53828,0.53828
200,0.60295,0.58166,0.53022,0.55326,0.55326
210,0.61348,0.59375,0.54354,0.56641,0.56641
220,0.62203,0.60271,0.55633,0.57733,0.57733
230,0.62995,0.61073,0.56736,0.5869,0.5869
240,0.63531,0.61716,0.57596,0.59578,0.59578
250,0.64119,0.62346,0.58319,0.60286,0.60385
260,0.64577,0.62998,0.58983,0.60955,0.61046
270,0.65041,0.63527,0.59612,0.61548,0.61616
280,0.65421,0.63986,0.60031,0.62106,0.62208
290,0.65821,0.64439,0.60557,0.62648,0.62702
300,0.66195,0.64856,0.61016,0.63137,0.63167
310,0.66494,0.65254,0.61407,0.63489,0.63592
320,0.66715,0.65576,0.61737,0.63872,0.64009
330,0.66925,0.65976,0.62097,0.64192,0.64411
340,0.67171,0.66209,0.62365,0.64533,0.64772
350,0.67443,0.66496,0.6262,0.64901,0.65098
360,0.67628,0.6676,0.62888,0.6524,0.65404
370,0.67947,0.66967,0.63181,0.65583,0.65728
380,0.68149,0.67243,0.63484,0.65883,0.66052
390,0.68274,0.67467,0.63669,0.66199,0.66401
400,0.68518,0.67773,0.63988,0.66559,0.66752
410,0.68748,0.67913,0.64333,0.66798,0.67079
420,0.69016,0.6816,0.64617,0.67124,0.67447
430,0.69282,0.68364,0.64955,0.67405,0.6776
440,0.69524,0.68563,0.65333,0.67663,0.68072
450,0.69757,0.68839,0.65647,0.67927,0.68364
460,0.70058,0.6911,0.65971,0.68155,0.68647
470,0.70308,0.69347,0.66267,0.68409,0.68916
480,0.70563,0.69509,0.66553,0.68674,0.6921
490,0.7077,0.697,0.66797,0.68922,0.69483
500,0.71014,0.69862,0.67135,0.69135,0.69717
510,0.71202,0.70098,0.67333,0.69332,0.69967
520,0.71421,0.70259,0.67592,0.69559,0.7021
530,0.71592,0.70417,0.67823,0.69856,0.70452
540,0.71845,0.70524,0.68138,0.70097,0.70769
550,0.72035,0.70712,0.68339,0.70259,0.70848
560,0.72243,0.70802,0.68477,0.70494,0.71139
570,0.7237,0.70779,0.6862,0.70694,0.71372
580,0.72487,0.7074,0.6871,0.70843,0.71524
590,0.72646,0.70665,0.68805,0.71002,0.71682
600,0.72712,0.7143,0.68875,0.71122,0.71836
